Hour,all other,Wind,Solar
1,17454.2,20308.9,1.0
2,15998.599999999999,20256.0,1.0
3,15246.9,19933.1,1.0
4,15265.7,19245.9,1.0
5,15174.3,19299.4,1.0
6,15892.800000000001,19712.4,1.0
7,17986.0,19692.3,1.3
8,18842.1,19326.6,795.1
9,16601.699999999997,17721.3,5658.1
10,15334.5,16595.1,9359.7
11,15463.699999999999,16846.9,9976.7
12,16012.0,16246.3,10877.7
13,16504.999999999996,15656.3,11925.6
14,17386.899999999998,15278.9,12615.0
15,18475.9,15079.9,12944.4
16,19234.8,15438.7,12857.3
17,20737.600000000002,15611.1,12357.0
18,22173.700000000004,15784.4,11104.6
19,25127.5,15854.6,7322.3
20,28820.600000000002,16029.0,1905.7
21,29767.1,16743.7,21.0
22,27841.600000000002,17759.4,0.6
23,25016.100000000002,18368.0,0.7
24,19366.0,20633.5,1.0
